Episode,Reward,Steps,Reason
173,2.38,6,FALL
174,1.86,6,FALL
175,0.27,5,FALL
176,1.71,6,FALL
177,9.07,9,FALL
178,3.62,6,FALL
179,36.28,18,FALL
180,-3.30,4,FALL
181,-3.52,4,FALL
182,4.17,6,FALL
183,7.35,8,FALL
184,14.81,10,FALL
185,0.29,5,FALL
186,0.36,6,FALL
187,40.70,19,FALL
188,17.97,11,FALL
189,10.21,9,FALL
190,1.78,6,FALL
191,17.09,12,FALL
192,52.06,23,FALL
193,9.78,9,FALL
194,17.58,11,FALL
195,18.34,12,FALL
196,27.46,15,FALL
197,-5.91,4,FALL
198,13.41,10,FALL
199,13.50,10,FALL
200,5.32,7,FALL
201,0.25,6,FALL
202,17.53,12,FALL
203,5.28,8,FALL
204,87.01,36,FALL
205,4.11,6,FALL
206,12.00,10,FALL
207,34.26,17,FALL
208,7.55,8,FALL
209,22.20,13,FALL
210,67.50,28,FALL
211,6.93,8,FALL
212,4.50,6,FALL
213,16.20,11,FALL
214,4.80,7,FALL
215,1.83,6,FALL
216,10.05,9,FALL
217,5.06,7,FALL
218,50.34,23,FALL
219,6.89,8,FALL
220,14.91,10,FALL
221,7.01,8,FALL
222,-0.28,5,FALL
223,9.93,9,FALL
224,3.48,6,FALL
225,37.85,18,FALL
226,-1.49,5,FALL
227,14.48,12,FALL
228,65.09,27,FALL
229,0.90,5,FALL
230,9.33,8,FALL
231,8.18,9,FALL
232,5.07,7,FALL
233,3.40,6,FALL
234,7.86,8,FALL
235,12.96,10,FALL
236,14.51,10,FALL
237,21.68,13,FALL
238,21.77,12,FALL
239,5.32,7,FALL
240,1.19,5,FALL
241,-1.52,5,FALL
242,25.74,15,FALL
243,5.07,7,FALL
244,4.59,6,FALL
245,5.10,7,FALL
246,3.99,6,FALL
247,5.91,7,FALL
248,-3.03,4,FALL
249,3.87,6,FALL
250,-4.11,4,FALL
251,2.03,6,FALL
252,2.51,6,FALL
253,-1.41,5,FALL
254,1.22,6,FALL
255,8.90,8,FALL
256,6.06,7,FALL
257,12.67,10,FALL
258,-0.36,5,FALL
259,6.21,7,FALL
260,7.90,8,FALL
261,9.78,10,FALL
262,3.25,6,FALL
263,4.79,7,FALL
264,10.62,8,FALL
265,6.65,8,FALL
266,2.68,6,FALL
267,2.49,6,FALL
268,25.93,14,FALL
269,-0.14,5,FALL
270,1.51,6,FALL
271,4.27,6,FALL
272,-0.20,5,FALL
273,2.86,6,FALL
274,3.43,6,FALL
275,7.16,8,FALL
276,57.60,24,FALL
277,15.90,10,FALL
278,-0.90,5,FALL
279,25.60,15,FALL
280,18.26,12,FALL
281,0.18,5,FALL
282,8.43,9,FALL
283,7.91,8,FALL
284,0.44,5,FALL
285,3.86,6,FALL
286,2.43,6,FALL
287,2.50,6,FALL
288,17.00,12,FALL
289,61.75,26,FALL
290,7.22,8,FALL
291,5.48,7,FALL
292,2.59,6,FALL
293,38.46,18,FALL
294,12.20,10,FALL
295,8.85,7,FALL
296,26.45,15,FALL
297,7.52,8,FALL
298,-1.95,5,FALL
299,22.54,12,FALL
300,2.87,6,FALL
301,29.22,15,FALL
302,6.31,8,FALL
303,49.42,23,FALL
304,14.73,11,FALL
305,0.80,5,FALL
306,6.92,8,FALL
307,4.63,6,FALL
308,31.09,16,FALL
309,5.11,7,FALL
310,5.50,7,FALL
311,12.76,11,FALL
312,-1.70,5,FALL
313,-3.25,4,FALL
314,34.75,18,FALL
315,8.15,8,FALL
316,20.57,13,FALL
317,1.91,5,FALL
318,17.34,12,FALL
319,0.27,5,FALL
320,-6.11,3,FALL
321,1.64,6,FALL
322,5.51,7,FALL
323,-3.34,4,FALL
324,31.89,16,FALL
325,-0.00,5,FALL
326,3.81,6,FALL
327,1.95,6,FALL
328,25.01,14,FALL
329,12.48,10,FALL
330,-3.47,4,FALL
331,0.29,5,FALL
332,1.67,5,FALL
333,-2.71,4,FALL
334,19.00,13,FALL
335,1.85,5,FALL
336,4.60,7,FALL
337,3.08,6,FALL
338,4.24,7,FALL
339,-2.04,4,FALL
340,7.54,7,FALL
341,13.04,10,FALL
342,17.02,10,FALL
343,1.12,5,FALL
344,3.37,6,FALL
345,-0.43,5,FALL
346,0.42,5,FALL
347,-3.45,4,FALL
348,9.96,10,FALL
349,30.88,16,FALL
350,30.01,16,FALL
351,28.44,16,FALL
352,16.12,10,FALL
353,17.85,13,FALL
354,33.55,17,FALL
355,5.82,8,FALL
356,6.73,7,FALL
357,2.25,6,FALL
358,14.80,10,FALL
359,6.36,7,FALL
360,0.11,5,FALL
361,5.43,7,FALL
362,11.47,10,FALL
363,-0.47,5,FALL
364,6.14,7,FALL
365,2.52,6,FALL
366,2.66,6,FALL
367,17.54,11,FALL
368,16.29,12,FALL
369,24.65,15,FALL
370,11.30,8,FALL
371,2.41,6,FALL
372,-3.46,4,FALL
373,9.01,9,FALL
374,15.26,11,FALL
375,6.86,8,FALL
376,2.99,6,FALL
377,1.62,5,FALL
378,17.16,12,FALL
379,70.29,31,FALL
380,7.52,8,FALL
381,34.24,17,FALL
382,23.50,14,FALL
383,23.15,14,FALL
384,0.46,5,FALL
385,72.09,31,FALL
386,-2.37,5,FALL
387,46.97,20,FALL
388,15.17,11,FALL
389,16.55,11,FALL
390,10.72,10,FALL
391,18.25,13,FALL
392,17.59,12,FALL
393,16.43,12,FALL
394,10.33,9,FALL
395,-1.61,4,FALL
396,-1.05,5,FALL
397,-2.72,5,FALL
398,-1.76,4,FALL
399,37.30,17,FALL
400,9.15,8,FALL
401,4.96,7,FALL
402,4.69,6,FALL
403,12.46,9,FALL
404,5.14,7,FALL
405,0.90,5,FALL
406,5.25,8,FALL
407,31.63,16,FALL
408,14.82,10,FALL
409,4.45,7,FALL
410,22.68,14,FALL
411,3.42,7,FALL
412,7.64,8,FALL
413,8.91,8,FALL
414,-3.70,4,FALL
415,-6.13,3,FALL
416,5.44,7,FALL
417,4.06,7,FALL
418,19.54,12,FALL
419,3.56,6,FALL
420,4.59,8,FALL
421,7.60,8,FALL
422,-3.10,4,FALL
423,7.74,8,FALL
424,9.94,8,FALL
425,-0.12,5,FALL
426,17.98,12,FALL
427,7.69,8,FALL
428,7.77,8,FALL
429,-0.99,5,FALL
430,23.17,14,FALL
431,5.64,7,FALL
432,-1.21,6,FALL
433,9.32,8,FALL
434,3.05,6,FALL
435,16.08,11,FALL
436,2.97,6,FALL
437,-3.34,4,FALL
438,12.28,10,FALL
439,26.37,14,FALL
440,16.52,12,FALL
441,21.67,13,FALL
442,-1.22,5,FALL
443,0.02,5,FALL
444,3.89,7,FALL
445,-3.66,4,FALL
446,28.38,16,FALL
447,23.77,15,FALL
448,-6.57,3,FALL
449,10.46,10,FALL
450,0.18,5,FALL
451,7.51,8,FALL
452,2.57,6,FALL
453,28.29,15,FALL
454,1.36,6,FALL
455,3.45,6,FALL
456,65.52,28,FALL
457,0.84,5,FALL
458,0.49,6,FALL
459,4.15,6,FALL
460,21.27,13,FALL
461,4.32,7,FALL
462,-0.80,5,FALL
463,19.67,12,FALL
464,27.01,15,FALL
465,16.09,11,FALL
466,4.21,7,FALL
467,12.65,10,FALL
468,3.32,7,FALL
469,12.10,10,FALL
470,0.39,6,FALL
471,-0.08,5,FALL
472,1.63,6,FALL
473,19.15,14,FALL
474,3.67,7,FALL
475,4.73,7,FALL
476,3.72,6,FALL
477,34.97,18,FALL
478,8.05,8,FALL
479,13.17,10,FALL
