Episode,Reward,Steps,Reason,Time
546,38.85,52,FALL,22:10:08
547,77.89,69,FALL,22:10:15
548,89.92,78,FALL,22:10:22
549,201.52,114,FALL,22:10:31
550,85.91,70,FALL,22:10:37
551,359.00,173,FALL,22:10:48
552,-48.06,21,FALL,22:10:53
553,1.31,41,FALL,22:10:59
554,89.17,73,FALL,22:11:06
555,-62.40,14,FALL,22:11:10
556,45.49,56,FALL,22:11:17
557,221.51,123,FALL,22:11:27
558,-19.90,31,FALL,22:11:32
559,-47.65,24,FALL,22:11:37
560,140.15,91,FALL,22:11:44
561,-17.47,32,FALL,22:11:50
562,6.85,42,FALL,22:11:56
563,182.64,105,FALL,22:12:05
564,59.43,62,FALL,22:12:11
565,236.71,129,FALL,22:12:20
566,348.43,171,FALL,22:12:31
567,-4.55,38,FALL,22:12:36
568,2.45,41,FALL,22:12:42
569,133.81,86,FALL,22:12:49
570,232.26,129,FALL,22:12:58
571,-13.89,33,FALL,22:13:04
572,354.42,167,FALL,22:13:15
573,-51.02,21,FALL,22:13:19
574,87.34,73,FALL,22:13:26
575,48.35,57,FALL,22:13:33
576,-43.79,24,FALL,22:13:38
577,25.87,47,FALL,22:13:45
578,15.01,46,FALL,22:13:51
579,-12.77,36,FALL,22:13:56
580,127.00,87,FALL,22:14:03
581,-2.81,37,FALL,22:14:08
582,35.09,52,FALL,22:14:14
583,-57.20,16,FALL,22:14:19
584,11.45,46,FALL,22:14:25
585,-1.36,40,FALL,22:14:31
586,-12.86,34,FALL,22:14:36
587,-22.98,30,FALL,22:14:42
588,608.81,262,FALL,22:14:56
589,151.00,93,FALL,22:15:04
590,-78.50,10,FALL,22:15:07
591,14.89,45,FALL,22:15:13
592,-17.44,31,FALL,22:15:18
593,122.40,81,FALL,22:15:25
594,201.72,110,FALL,22:15:33
595,-47.49,21,FALL,22:15:38
596,-48.22,21,FALL,22:15:42
597,302.99,153,FALL,22:15:52
598,-5.95,38,FALL,22:15:58
599,-7.87,34,FALL,22:16:03
600,74.13,67,FALL,22:16:11
601,33.89,53,FALL,22:16:17
602,51.22,58,FALL,22:16:23
603,216.56,118,FALL,22:16:32
604,26.79,51,FALL,22:16:37
605,-33.14,27,FALL,22:16:42
606,0.87,41,FALL,22:16:48
607,5.96,42,FALL,22:16:54
608,60.84,63,FALL,22:17:00
609,84.51,69,FALL,22:17:07
610,65.57,61,FALL,22:17:13
611,64.85,64,FALL,22:17:19
612,250.75,131,FALL,22:17:28
613,-24.68,28,FALL,22:17:33
