Episode,Reward,Steps,Reason,Time
469,-48.94,7,FALL,12:33:52
470,31.80,21,FALL,12:33:56
471,73.33,25,FALL,12:34:00
472,175.74,40,FALL,12:34:08
473,-57.04,7,FALL,12:34:18
474,-44.78,8,FALL,12:34:21
475,50.04,22,FALL,12:34:28
476,124.00,31,FALL,12:34:33
477,37.40,19,FALL,12:34:37
478,50.92,25,FALL,12:34:41
479,202.13,52,FALL,12:34:47
480,46.19,23,FALL,12:34:51
481,-6.96,16,FALL,12:34:55
482,118.98,35,FALL,12:34:59
483,-40.51,9,FALL,12:35:03
484,-38.91,9,FALL,12:35:09
485,0.69,18,FALL,12:35:13
486,88.27,30,FALL,12:35:17
487,-17.16,14,FALL,12:35:20
488,-56.59,7,FALL,12:35:24
489,175.23,43,FALL,12:35:29
490,-9.23,14,FALL,12:35:32
491,-53.74,6,FALL,12:35:39
492,109.22,36,FALL,12:35:44
493,67.92,28,FALL,12:35:48
494,214.29,53,FALL,12:35:54
495,111.53,31,FALL,12:35:59
496,-57.97,7,FALL,12:36:02
497,66.69,29,FALL,12:36:12
498,38.15,19,FALL,12:36:16
499,-45.80,8,FALL,12:36:23
500,93.84,26,FALL,12:36:30
501,-45.68,8,FALL,12:36:37
502,-51.51,7,FALL,12:36:40
503,146.95,42,FALL,12:36:45
504,-36.80,10,FALL,12:36:55
505,29.68,23,FALL,12:37:02
506,-16.79,13,FALL,12:37:05
507,86.51,27,FALL,12:37:10
508,149.44,40,FALL,12:37:15
509,6.10,18,FALL,12:37:22
510,36.46,21,FALL,12:37:26
511,-31.55,14,FALL,12:37:30
512,139.69,32,FALL,12:37:37
513,-5.20,14,FALL,12:37:41
514,247.80,47,FALL,12:37:47
515,-3.98,14,FALL,12:37:50
516,-34.48,10,FALL,12:37:54
517,189.82,41,FALL,12:37:59
518,-50.37,7,FALL,12:38:05
519,-45.75,8,FALL,12:38:08
520,-52.58,8,FALL,12:38:12
521,-50.79,8,FALL,12:38:15
522,-31.62,12,FALL,12:38:22
523,43.32,23,FALL,12:38:26
524,1.46,17,FALL,12:38:30
525,-42.29,9,FALL,12:38:33
526,-43.82,8,FALL,12:38:36
527,22.87,18,FALL,12:38:40
528,-45.95,8,FALL,12:38:50
529,-18.25,14,FALL,12:38:53
530,38.28,20,FALL,12:38:57
531,6.50,17,FALL,12:39:01
532,65.83,23,FALL,12:39:08
533,0.32,14,FALL,12:39:12
