x,y,z,hn,ht,dg,mct,mcn
-0.12,0.04,0.14,0.2783,-0.37406,0.874443,-1.29684,-0.2783
-0.12,0.04,0.15,0.260602,-0.460451,0.665546,-1.17433,-0.260602
-0.12,0.04,0.16,0.244979,-0.631932,0.325598,-1.00586,-0.244979
-0.12,0.05,0.1,0.463648,-0.281002,1.3173,-1.64663,-0.463648
-0.12,0.05,0.11,0.426627,-0.28358,1.22696,-1.55887,-0.426627
-0.12,0.05,0.12,0.394791,-0.301183,1.11718,-1.46669,-0.394791
-0.12,0.05,0.13,0.367174,-0.336899,0.983147,-1.36838,-0.367174
-0.12,0.05,0.14,0.343024,-0.396834,0.815015,-1.26018,-0.343024
-0.12,0.05,0.15,0.321751,-0.497142,0.586784,-1.13226,-0.321751
-0.12,0.05,0.16,0.302885,-0.763506,0.098744,-0.910582,-0.302885
-0.12,0.06,0.1,0.54042,-0.280648,1.27113,-1.60011,-0.54042
-0.12,0.06,0.11,0.499347,-0.290161,1.17592,-1.51441,-0.499347
-0.12,0.06,0.12,0.463648,-0.31475,1.06029,-1.42338,-0.463648
-0.12,0.06,0.13,0.432408,-0.358365,0.918164,-1.32486,-0.432408
-0.12,0.06,0.14,0.404892,-0.42927,0.73634,-1.21394,-0.404892
-0.12,0.06,0.15,0.380506,-0.553023,0.473971,-1.07533,-0.380506
-0.12,0.07,0.1,0.610726,-0.285033,1.2133,-1.54666,-0.610726
-0.12,0.07,0.11,0.566729,-0.302279,1.11213,-1.46274,-0.566729
-0.12,0.07,0.12,0.528074,-0.33513,0.988851,-1.37231,-0.528074
-0.12,0.07,0.13,0.493941,-0.388897,0.835264,-1.27249,-0.493941
-0.12,0.07,0.14,0.463648,-0.475974,0.631693,-1.156,-0.463648
-0.12,0.07,0.15,0.436627,-0.651281,0.29079,-0.990404,-0.436627
-0.12,0.08,0.1,0.674741,-0.29611,1.14206,-1.4865,-0.674741
-0.12,0.08,0.11,0.628796,-0.322022,1.03339,-1.40375,-0.628796
-0.12,0.08,0.12,0.588003,-0.364888,0.899672,-1.31289,-0.588003
-0.12,0.08,0.13,0.551655,-0.432507,0.728794,-1.20963,-0.551655
-0.12,0.08,0.14,0.519146,-0.54726,0.485269,-1.08086,-0.519146
-0.12,0.09,0.1,0.732815,-0.316149,1.05497,-1.41945,-0.732815
-0.12,0.09,0.11,0.68573,-0.352136,0.936312,-1.33678,-0.68573
-0.12,0.09,0.12,0.643501,-0.407994,0.787259,-1.24358,-0.643501
